,dateFixed,no_of_cases,delayedDate,rainfall,temperature,fixedDate
107,2014-05-03,244,2014-05-03,0.7333333333333334,29.5,2014-05-03
108,2014-05-04,235,2014-05-04,0.4666666666666666,29.366666666666664,2014-05-04
109,2014-05-05,235,2014-05-05,0.7999999999999999,29.366666666666664,2014-05-05
110,2014-05-06,235,2014-05-06,1.0,29.533333333333335,2014-05-06
111,2014-05-07,235,2014-05-07,13.933333333333332,28.099999999999998,2014-05-07
112,2014-05-08,235,2014-05-08,17.6,27.399999999999995,2014-05-08
113,2014-05-09,235,2014-05-09,0.5333333333333333,28.900000000000002,2014-05-09
114,2014-05-10,235,2014-05-10,0.0,29.933333333333334,2014-05-10
115,2014-05-11,282,2014-05-11,0.0,28.833333333333332,2014-05-11
116,2014-05-12,282,2014-05-12,3.466666666666667,28.266666666666666,2014-05-12
117,2014-05-13,282,2014-05-13,0.0,29.333333333333332,2014-05-13
118,2014-05-14,282,2014-05-14,5.133333333333334,28.333333333333332,2014-05-14
119,2014-05-15,282,2014-05-15,4.066666666666666,29.599999999999998,2014-05-15
120,2014-05-16,282,2014-05-16,37.13333333333333,28.53333333333333,2014-05-16
121,2014-05-17,282,2014-05-17,12.933333333333332,28.7,2014-05-17
122,2014-05-18,251,2014-05-18,11.933333333333332,26.866666666666664,2014-05-18
123,2014-05-19,251,2014-05-19,9.133333333333335,27.366666666666664,2014-05-19
124,2014-05-20,251,2014-05-20,5.533333333333334,27.633333333333336,2014-05-20
125,2014-05-21,251,2014-05-21,3.6666666666666665,27.866666666666664,2014-05-21
126,2014-05-22,251,2014-05-22,0.6666666666666666,28.899999999999995,2014-05-22
127,2014-05-23,251,2014-05-23,18.599999999999998,27.166666666666668,2014-05-23
128,2014-05-24,251,2014-05-24,0.0,28.53333333333333,2014-05-24
129,2014-05-25,261,2014-05-25,0.06666666666666667,29.400000000000002,2014-05-25
130,2014-05-26,261,2014-05-26,5.733333333333334,28.433333333333334,2014-05-26
131,2014-05-27,261,2014-05-27,3.066666666666667,28.0,2014-05-27
132,2014-05-28,261,2014-05-28,6.733333333333333,28.76666666666667,2014-05-28
133,2014-05-29,261,2014-05-29,6.133333333333334,28.833333333333332,2014-05-29
134,2014-05-30,261,2014-05-30,9.933333333333334,27.900000000000002,2014-05-30
135,2014-05-31,261,2014-05-31,0.26666666666666666,29.166666666666668,2014-05-31
136,2014-06-01,291,2014-06-01,8.733333333333333,28.433333333333334,2014-06-01
137,2014-06-02,291,2014-06-02,0.0,28.900000000000002,2014-06-02
138,2014-06-03,291,2014-06-03,1.4000000000000001,29.46666666666667,2014-06-03
139,2014-06-04,291,2014-06-04,7.266666666666667,27.866666666666664,2014-06-04
140,2014-06-05,291,2014-06-05,13.533333333333333,27.0,2014-06-05
141,2014-06-06,291,2014-06-06,13.133333333333335,27.366666666666664,2014-06-06
142,2014-06-07,291,2014-06-07,0.0,28.933333333333334,2014-06-07
143,2014-06-08,427,2014-06-08,0.0,30.0,2014-06-08
144,2014-06-09,427,2014-06-09,0.0,29.8,2014-06-09
145,2014-06-10,427,2014-06-10,1.5999999999999999,29.46666666666667,2014-06-10
146,2014-06-11,427,2014-06-11,0.0,30.166666666666668,2014-06-11
147,2014-06-12,427,2014-06-12,13.333333333333334,29.2,2014-06-12
148,2014-06-13,427,2014-06-13,0.0,29.933333333333334,2014-06-13
149,2014-06-14,427,2014-06-14,16.666666666666668,27.73333333333333,2014-06-14
150,2014-06-15,456,2014-06-15,0.13333333333333333,29.53333333333333,2014-06-15
151,2014-06-16,456,2014-06-16,0.0,30.266666666666666,2014-06-16
152,2014-06-17,456,2014-06-17,0.0,30.46666666666667,2014-06-17
153,2014-06-18,456,2014-06-18,8.933333333333332,28.900000000000002,2014-06-18
154,2014-06-19,456,2014-06-19,5.8,29.333333333333332,2014-06-19
155,2014-06-20,456,2014-06-20,0.0,30.5,2014-06-20
156,2014-06-21,456,2014-06-21,0.0,30.8,2014-06-21
157,2014-06-22,458,2014-06-22,1.0666666666666667,30.066666666666666,2014-06-22
158,2014-06-23,458,2014-06-23,0.0,29.96666666666667,2014-06-23
159,2014-06-24,458,2014-06-24,6.3999999999999995,29.599999999999998,2014-06-24
160,2014-06-25,458,2014-06-25,10.799999999999999,28.666666666666668,2014-06-25
161,2014-06-26,458,2014-06-26,0.6,29.566666666666663,2014-06-26
162,2014-06-27,458,2014-06-27,3.8000000000000003,27.766666666666666,2014-06-27
163,2014-06-28,458,2014-06-28,0.0,28.899999999999995,2014-06-28
164,2014-06-29,506,2014-06-29,7.866666666666667,29.03333333333333,2014-06-29
165,2014-06-30,506,2014-06-30,12.6,27.46666666666667,2014-06-30
166,2014-07-01,506,2014-07-01,0.0,28.5,2014-07-01
167,2014-07-02,506,2014-07-02,0.0,28.866666666666664,2014-07-02
168,2014-07-03,506,2014-07-03,0.26666666666666666,28.733333333333334,2014-07-03
169,2014-07-04,506,2014-07-04,6.8,28.633333333333336,2014-07-04
170,2014-07-05,506,2014-07-05,20.666666666666668,27.766666666666666,2014-07-05
171,2014-07-06,550,2014-07-06,0.7333333333333334,28.833333333333332,2014-07-06
172,2014-07-07,550,2014-07-07,11.466666666666667,28.46666666666667,2014-07-07
173,2014-07-08,550,2014-07-08,19.46666666666667,28.133333333333336,2014-07-08
174,2014-07-09,550,2014-07-09,11.0,27.599999999999998,2014-07-09
175,2014-07-10,550,2014-07-10,0.6,28.899999999999995,2014-07-10
176,2014-07-11,550,2014-07-11,10.933333333333332,28.099999999999998,2014-07-11
177,2014-07-12,550,2014-07-12,1.4000000000000001,27.63333333333333,2014-07-12
178,2014-07-13,671,2014-07-13,0.0,29.166666666666668,2014-07-13
179,2014-07-14,671,2014-07-14,0.0,30.100000000000005,2014-07-14
180,2014-07-15,671,2014-07-15,0.0,29.73333333333333,2014-07-15
181,2014-07-16,671,2014-07-16,0.0,29.599999999999998,2014-07-16
182,2014-07-17,671,2014-07-17,11.866666666666665,28.033333333333335,2014-07-17
183,2014-07-18,671,2014-07-18,0.0,29.366666666666664,2014-07-18
184,2014-07-19,671,2014-07-19,0.26666666666666666,29.03333333333333,2014-07-19
185,2014-07-20,888,2014-07-20,0.0,29.599999999999998,2014-07-20
186,2014-07-21,888,2014-07-21,0.0,29.733333333333334,2014-07-21
187,2014-07-22,888,2014-07-22,0.0,29.766666666666666,2014-07-22
188,2014-07-23,888,2014-07-23,0.0,29.8,2014-07-23
189,2014-07-24,888,2014-07-24,0.0,29.7,2014-07-24
190,2014-07-25,888,2014-07-25,0.0,29.96666666666667,2014-07-25
191,2014-07-26,888,2014-07-26,0.0,30.133333333333336,2014-07-26
192,2014-07-27,818,2014-07-27,16.066666666666666,28.266666666666666,2014-07-27
193,2014-07-28,818,2014-07-28,0.0,29.166666666666668,2014-07-28
194,2014-07-29,818,2014-07-29,23.46666666666667,27.533333333333335,2014-07-29
195,2014-07-30,818,2014-07-30,7.0,27.700000000000003,2014-07-30
196,2014-07-31,818,2014-07-31,3.1333333333333333,27.733333333333334,2014-07-31
197,2014-08-01,818,2014-08-01,2.066666666666667,28.799999999999997,2014-08-01
198,2014-08-02,818,2014-08-02,8.200000000000001,28.866666666666664,2014-08-02
199,2014-08-03,744,2014-08-03,4.266666666666667,28.633333333333336,2014-08-03
200,2014-08-04,744,2014-08-04,0.39999999999999997,29.0,2014-08-04
201,2014-08-05,744,2014-08-05,8.0,26.733333333333334,2014-08-05
202,2014-08-06,744,2014-08-06,1.5333333333333332,27.799999999999997,2014-08-06
203,2014-08-07,744,2014-08-07,4.533333333333333,27.733333333333334,2014-08-07
204,2014-08-08,744,2014-08-08,0.6666666666666666,27.900000000000002,2014-08-08
205,2014-08-09,744,2014-08-09,0.0,28.86666666666667,2014-08-09
206,2014-08-10,633,2014-08-10,2.0,28.2,2014-08-10
207,2014-08-11,633,2014-08-11,1.5333333333333332,27.933333333333337,2014-08-11
208,2014-08-12,633,2014-08-12,5.666666666666667,26.96666666666667,2014-08-12
209,2014-08-13,633,2014-08-13,1.3999999999999997,26.46666666666667,2014-08-13
210,2014-08-14,633,2014-08-14,15.4,27.066666666666666,2014-08-14
211,2014-08-15,633,2014-08-15,35.4,26.266666666666666,2014-08-15
212,2014-08-16,633,2014-08-16,0.0,28.099999999999998,2014-08-16
213,2014-08-17,484,2014-08-17,0.0,28.566666666666663,2014-08-17
214,2014-08-18,484,2014-08-18,3.466666666666667,28.76666666666667,2014-08-18
215,2014-08-19,484,2014-08-19,0.19999999999999998,28.166666666666668,2014-08-19
216,2014-08-20,484,2014-08-20,4.466666666666667,28.0,2014-08-20
217,2014-08-21,484,2014-08-21,8.533333333333333,27.8,2014-08-21
218,2014-08-22,484,2014-08-22,0.19999999999999998,28.666666666666668,2014-08-22
219,2014-08-23,484,2014-08-23,2.2666666666666666,28.5,2014-08-23
220,2014-08-24,545,2014-08-24,1.5999999999999999,27.5,2014-08-24
221,2014-08-25,545,2014-08-25,7.3999999999999995,26.700000000000003,2014-08-25
222,2014-08-26,545,2014-08-26,16.0,26.96666666666667,2014-08-26
223,2014-08-27,545,2014-08-27,13.333333333333334,26.866666666666664,2014-08-27
224,2014-08-28,545,2014-08-28,19.266666666666666,26.599999999999998,2014-08-28
225,2014-08-29,545,2014-08-29,14.6,27.033333333333335,2014-08-29
226,2014-08-30,545,2014-08-30,0.0,27.46666666666667,2014-08-30
227,2014-08-31,438,2014-08-31,1.4666666666666666,28.03333333333333,2014-08-31
228,2014-09-01,438,2014-09-01,0.0,29.3,2014-09-01
229,2014-09-02,438,2014-09-02,0.0,28.933333333333334,2014-09-02
230,2014-09-03,438,2014-09-03,12.866666666666667,26.73333333333333,2014-09-03
231,2014-09-04,438,2014-09-04,0.0,28.0,2014-09-04
232,2014-09-05,438,2014-09-05,4.066666666666666,28.066666666666666,2014-09-05
233,2014-09-06,438,2014-09-06,0.0,27.566666666666666,2014-09-06
234,2014-09-07,418,2014-09-07,0.26666666666666666,28.3,2014-09-07
235,2014-09-08,418,2014-09-08,0.0,29.133333333333336,2014-09-08
236,2014-09-09,418,2014-09-09,0.6,28.433333333333334,2014-09-09
237,2014-09-10,418,2014-09-10,1.0666666666666667,29.0,2014-09-10
238,2014-09-11,418,2014-09-11,13.866666666666665,27.166666666666668,2014-09-11
239,2014-09-12,418,2014-09-12,0.0,28.366666666666664,2014-09-12
240,2014-09-13,418,2014-09-13,0.0,29.13333333333333,2014-09-13
241,2014-09-14,367,2014-09-14,0.0,29.2,2014-09-14
242,2014-09-15,367,2014-09-15,0.0,29.3,2014-09-15
243,2014-09-16,367,2014-09-16,0.0,29.3,2014-09-16
244,2014-09-17,367,2014-09-17,2.0,29.0,2014-09-17
245,2014-09-18,367,2014-09-18,1.8666666666666665,29.2,2014-09-18
246,2014-09-19,367,2014-09-19,4.533333333333333,29.03333333333333,2014-09-19
247,2014-09-20,367,2014-09-20,16.8,27.7,2014-09-20
248,2014-09-21,339,2014-09-21,3.4,28.03333333333333,2014-09-21
249,2014-09-22,339,2014-09-22,0.0,29.066666666666663,2014-09-22
250,2014-09-23,339,2014-09-23,0.0,29.333333333333332,2014-09-23
251,2014-09-24,339,2014-09-24,11.866666666666667,28.733333333333334,2014-09-24
252,2014-09-25,339,2014-09-25,16.666666666666668,26.733333333333334,2014-09-25
253,2014-09-26,339,2014-09-26,0.0,28.46666666666667,2014-09-26
254,2014-09-27,339,2014-09-27,0.0,29.066666666666666,2014-09-27
255,2014-09-28,362,2014-09-28,0.0,29.2,2014-09-28
256,2014-09-29,362,2014-09-29,0.0,29.3,2014-09-29
257,2014-09-30,362,2014-09-30,0.0,29.366666666666664,2014-09-30
258,2014-10-01,362,2014-10-01,0.0,29.433333333333334,2014-10-01
259,2014-10-02,362,2014-10-02,0.0,29.166666666666668,2014-10-02
260,2014-10-03,362,2014-10-03,0.0,29.333333333333332,2014-10-03
261,2014-10-04,362,2014-10-04,6.0,27.566666666666663,2014-10-04
262,2014-10-05,396,2014-10-05,0.26666666666666666,27.266666666666666,2014-10-05
263,2014-10-06,396,2014-10-06,0.0,28.633333333333336,2014-10-06
264,2014-10-07,396,2014-10-07,0.06666666666666667,29.3,2014-10-07
265,2014-10-08,396,2014-10-08,0.0,29.366666666666664,2014-10-08
266,2014-10-09,396,2014-10-09,0.0,29.46666666666667,2014-10-09
267,2014-10-10,396,2014-10-10,0.0,29.833333333333332,2014-10-10
268,2014-10-11,396,2014-10-11,0.13333333333333333,28.900000000000002,2014-10-11
269,2014-10-12,344,2014-10-12,0.06666666666666667,28.466666666666665,2014-10-12
270,2014-10-13,344,2014-10-13,0.0,28.866666666666664,2014-10-13
271,2014-10-14,344,2014-10-14,10.200000000000001,28.099999999999998,2014-10-14
272,2014-10-15,344,2014-10-15,3.533333333333333,28.433333333333334,2014-10-15
273,2014-10-16,344,2014-10-16,11.333333333333334,27.933333333333334,2014-10-16
274,2014-10-17,344,2014-10-17,7.533333333333334,28.166666666666668,2014-10-17
275,2014-10-19,339,2014-10-19,0.0,27.833333333333332,2014-10-19
276,2014-10-20,339,2014-10-20,0.0,28.933333333333334,2014-10-20
277,2014-10-21,339,2014-10-21,38.06666666666666,26.866666666666664,2014-10-21
278,2014-10-22,339,2014-10-22,4.666666666666667,26.233333333333334,2014-10-22
279,2014-10-23,339,2014-10-23,0.0,28.233333333333334,2014-10-23
280,2014-10-24,339,2014-10-24,0.0,29.066666666666663,2014-10-24
281,2014-10-25,339,2014-10-25,0.0,29.433333333333334,2014-10-25
282,2014-10-26,278,2014-10-26,0.0,29.3,2014-10-26
283,2014-10-27,278,2014-10-27,12.333333333333334,27.76666666666667,2014-10-27
284,2014-10-28,278,2014-10-28,10.333333333333334,28.100000000000005,2014-10-28
285,2014-10-29,278,2014-10-29,0.0,29.366666666666664,2014-10-29
286,2014-10-30,278,2014-10-30,8.866666666666667,28.566666666666666,2014-10-30
287,2014-10-31,278,2014-10-31,11.733333333333334,27.766666666666666,2014-10-31
288,2014-11-01,278,2014-11-01,2.0,28.333333333333332,2014-11-01
289,2014-11-02,297,2014-11-02,0.8666666666666667,29.266666666666666,2014-11-02
290,2014-11-03,297,2014-11-03,0.0,29.833333333333332,2014-11-03
291,2014-11-04,297,2014-11-04,1.2666666666666666,29.966666666666665,2014-11-04
292,2014-11-05,297,2014-11-05,9.266666666666667,27.766666666666666,2014-11-05
